,category,message
0,ham,Ok lar... Joking wif u oni...
1,ham,U dun say so early hor... U c already then say...
2,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, Â£1.50 to rcv"
3,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
4,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
5,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
6,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
7,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
8,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
9,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ãº1.20 POBOXox36504W45WQ 16+"
10,ham,Iâ€˜m going to try for 2 months ha ha only joking
11,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
12,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
13,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
14,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
15,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
16,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
17,ham,Yup... Ok i go home look at the timings then i msg Ã¼ again... Xuhui going to learn on 2nd may too but her lesson is at 8am
18,ham,I see the letter B on my car
19,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
20,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
21,ham,WHO ARE YOU SEEING?
22,ham,No calls..messages..missed calls
23,ham,"Fair enough, anything going on?"
24,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
25,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
26,ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
27,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
28,ham,"Sorry, I'll call later in meeting."
29,ham,Yes..gauti and sehwag out of odi series.
30,ham,Ha ha ha good joke. Girls are situation seekers.
31,ham,"Sorry my roommates took forever, it ok if I come by now?"
32,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Â£1500 Bonus Prize, call 09066364589"
33,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or Â£1000. To claim txt DIS to 87121 18+6*Â£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
34,ham,I plane to give on this month end.
35,ham,Finished class where are you.
36,ham,K..k:)where are you?how did you performed?
37,ham,I am waiting machan. Call me once you free.
38,ham,I like you peoples very much:) but am very shy pa.
39,ham,Its not the same here. Still looking for a job. How much do Ta's earn there.
40,ham,K. Did you call me just now ah? 
41,ham,You will be in the place of that man
42,ham,"I call you later, don't have network. If urgnt, sms me."
43,ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
44,ham,"Ela kano.,il download, come wen ur free.."
45,ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
46,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!
47,spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
48,ham,i see. When we finish we have loads of loans to pay
49,ham,I see a cup of coffee animation
50,ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
51,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
52,ham,Umma my life and vava umma love you lot dear
53,ham,"Aight, I'll hit you up when I get some cash"
54,ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
55,ham,What is the plural of the noun research?
56,ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
57,ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
58,spam,You are a winner U have been specially selected 2 receive Â£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
59,ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
60,spam,"URGENT! Your Mobile No. was awarded Â£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
61,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
62,ham,Ãœ predict wat time Ã¼'ll finish buying?
63,ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
64,ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
65,ham,I'm home.
66,ham,First answer my question.
67,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
68,ham,He is there. You call and meet him
69,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
70,ham,"K, text me when you're on the way"
71,ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"
72,ham,Yes see ya not on the dot
73,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
74,ham,K..i deleted my contact that why?
75,ham,The wine is flowing and i'm i have nevering..
76,ham,Ok... Ur typical reply...
77,ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
78,ham,I'm leaving my house now...
79,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
80,ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
81,ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
82,spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
83,spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a Â£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
84,ham,Great escape. I fancy the bridge but needs her lager. See you tomo 
85,ham,"Sir, I need AXIS BANK account no and bank address."
86,ham,What time you coming down later? 
87,ham,"Well, i'm gonna finish my bath now. Have a good...fine night."
88,ham,U still going to the mall?
89,ham,Text her. If she doesnt reply let me know so i can have her log in
90,ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
